business_name,lo80,hi80
Advance Payment Bond,7.786595410259928,7.786595410259928
Assets All Risks,-12.71464208193843,16.99640526170141
Bankers Blanket Indemnity,-73.16225157160085,107.8813723404948
Bid Bond,7.894451371705437,7.894451371705437
Boiler & Pressure Plant,7.597444507986576,7.597444507986576
Business Interruption,15.94349458148793,15.94349458148793
CONTRACTOR'S ALL RISKS,-15.870056678278711,19.7342514592499
Cole Class Of Business,7.394241678601363,7.394241678601363
Customs Warehouse Bond,-7.848062162942817,8.696475652422844
Deterioration of Stock,2.20166726079831,2.20166726079831
Directors & Officers Liability,13.728425000393264,13.728425000393264
Fire & Allied Perils,-5.714882033816628,12.693911992540961
General Exportation Bond,8.749630197427578,8.749630197427578
General Premises Bond,5.186520978863604,43.240852786247444
Goods In Transit,-2.2481982263289364,2.528841457404675
Group Personal Accident,-8.628460597341892,-1.3161986616807866
Money Insurance,0.5251603660385651,0.5251603660385651
Motor Comprehensive,-13.803636088770782,10.180632527863574
Motor Comprehensive (Automobile Fac Facility),-4.922275467876879,6.484013930401489
Motor Comprehensive Fleet,-13.560297722856829,21.183343525315372
Motor Comprehensive Fleet (Automobile Fac Facility),-32.33741122783432,2.1509628264442333
Motor Third Party Fire & Theft,16.946874633756106,16.946874633756106
Performance Bond,-4.099254294347709,13.055013078815902
Petroleum Bond,7.296723565514432,7.296723565514432
Professional Indemnity,-0.2932887624715883,-0.2932887624715883
Public Liability,-14.580263479232007,-14.580263479232007
Removal Bond,-6.254246498828245,45.65260118971309
Temporary Exportation/Importation Bond,-1.1719076452320234,4.601915821174512
Temporary Importation Bond,0.5961026588095277,13.801621799403566
Transit Bond,-5.745621675908878,-5.745621675908878
Workmen's Compensation,-6.127046890045141,16.695115468298553
